eventTimestamp,userID,sessionID,platform,userCountry,realCurrencyAmount,realCurrencyAmount,realCurrencyType,,,,,,,,,,,,
2019-11-01,16707,,ANDROID,,1998,19.98,AUD,,,,,,,,,,,,
2019-11-01,25142,c13fd09a-cce2-419f-9f1e-533258c19d61,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,25142,c13fd09a-cce2-419f-9f1e-533258c19d61,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,101530,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-01,102640,6fe2173d-923b-4590-b1a3-797904672d11,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,102632,8767274a-1aa0-4892-afa9-a78537a9eb6c,ANDROID,DK,4200,42,DKK,,,,,,,,,,,,
2019-11-01,102632,8767274a-1aa0-4892-afa9-a78537a9eb6c,ANDROID,DK,8500,85,DKK,,,,,,,,,,,,
2019-11-01,25561,b7ab3cd6-a807-451d-b9a7-e2786a62ec80,ANDROID,US,99,0.99,USD,,,,,,,,,,,,
2019-11-01,48908,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-01,25561,b7ab3cd6-a807-451d-b9a7-e2786a62ec80,ANDROID,US,199,1.99,USD,,,,,,,,,,,,
2019-11-01,25561,b7ab3cd6-a807-451d-b9a7-e2786a62ec80,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,25561,b7ab3cd6-a807-451d-b9a7-e2786a62ec80,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,25561,b7ab3cd6-a807-451d-b9a7-e2786a62ec80,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,63249,14adaf4b-e36c-4c8f-b26f-90f180037b6b,IOS,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-01,63249,14adaf4b-e36c-4c8f-b26f-90f180037b6b,IOS,US,9999,99.99,USD,,,,,,,,,,,,
2019-11-01,102278,9e544845-7c36-49ea-823c-7bfcf1735f79,ANDROID,CA,649,6.49,CAD,,,,,,,,,,,,
2019-11-01,102278,9e544845-7c36-49ea-823c-7bfcf1735f79,ANDROID,CA,1299,12.99,CAD,,,,,,,,,,,,
2019-11-01,102012,3507051e-58da-4883-b595-3ea62f03b023,ANDROID,CH,510,5.1,CHF,,,,,,,,,,,,
2019-11-01,102703,c1529d2c-18f3-413c-8df7-3039e4b2e653,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,101941,0208d2ab-465c-48a8-8562-0cab0359bc8d,ANDROID,DK,16900,169,DKK,,,,,,,,,,,,
2019-11-01,71577,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-01,102369,8daee6f7-aa3e-46bc-9733-2cdb06555707,ANDROID,FR,1099,10.99,EUR,,,,,,,,,,,,
2019-11-01,102763,af8b9030-524c-4a94-bdc2-93e135ca5744,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-01,102569,01975e2a-3835-45fc-a1fa-32de738a2901,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,28256,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-01,102454,e59b0e48-7da3-4583-9bf7-f2f61fece4cc,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-01,99645,,ANDROID,,1998,19.98,AUD,,,,,,,,,,,,
2019-11-01,58820,d241ba62-dd41-4b01-bfc5-21dba95ca6a8,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-01,58820,d241ba62-dd41-4b01-bfc5-21dba95ca6a8,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-01,98767,cdd6a21d-7f4d-45a1-9289-5ad027e6ed3e,ANDROID,US,999,9.99,USD,,,,,,,,,,,,
2019-11-01,101663,361562ed-2534-4805-95a4-a92f9f991d32,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,102666,633273ea-307e-4f74-b48d-fb99275fc87c,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-01,102666,633273ea-307e-4f74-b48d-fb99275fc87c,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,102666,633273ea-307e-4f74-b48d-fb99275fc87c,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,101666,,ANDROID,,1998,19.98,AUD,,,,,,,,,,,,
2019-11-01,94867,55719000-6cc8-4f7f-87ed-c45a4a980c39,ANDROID,DE,2199,21.99,EUR,,,,,,,,,,,,
2019-11-01,86418,,IOS,,1149,11.49,GBP,,,,,,,,,,,,
2019-11-01,16942,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
